,date,date_id,wind,desc,temp,baro,hum
148,"Sunday 21 July 2024, 06.00 — 12.00",1721541600000.0,17,Scattered clouds.,32.0,1004,69
149,"Sunday 21 July 2024, 12.00 — 18.00",1721563200000.0,20,Broken clouds.,35.0,1002,62
150,"Sunday 21 July 2024, 18.00 — 00.00",1721584800000.0,19,Partly cloudy.,34.0,1004,65
151,"Monday 22 July 2024, 00.00 — 06.00",1721606400000.0,15,Partly cloudy.,31.0,1004,69
152,"Monday 22 July 2024, 06.00 — 12.00",1721628000000.0,17,Broken clouds.,33.0,1006,67
153,"Monday 22 July 2024, 12.00 — 18.00",1721649600000.0,14,Broken clouds.,34.0,1004,63
154,"Monday 22 July 2024, 18.00 — 00.00",1721671200000.0,15,Partly cloudy.,33.0,1006,66
155,"Tuesday 23 July 2024, 00.00 — 06.00",1721692800000.0,15,Passing clouds.,30.0,1006,70
156,"Tuesday 23 July 2024, 06.00 — 12.00",1721714400000.0,18,Broken clouds.,34.0,1007,66
157,"Tuesday 23 July 2024, 12.00 — 18.00",1721736000000.0,21,Broken clouds.,36.0,1004,59
158,"Tuesday 23 July 2024, 18.00 — 00.00",1721757600000.0,12,Fog.,34.0,1006,80
159,"Wednesday 24 July 2024, 00.00 — 06.00",1721779200000.0,16,Fog.,29.0,1005,81
160,"Wednesday 24 July 2024, 06.00 — 12.00",1721800800000.0,17,Scattered clouds.,34.0,1005,69
161,"Wednesday 24 July 2024, 12.00 — 18.00",1721822400000.0,20,Scattered clouds.,35.0,1002,57
162,"Wednesday 24 July 2024, 18.00 — 00.00",1721844000000.0,16,Partly cloudy.,34.0,1003,65
163,"Thursday 25 July 2024, 00.00 — 06.00",1721865600000.0,15,Partly cloudy.,30.0,1003,72
164,"Thursday 25 July 2024, 06.00 — 12.00",1721887200000.0,18,Broken clouds.,34.0,1004,68
165,"Thursday 25 July 2024, 12.00 — 18.00",1721908800000.0,19,Broken clouds.,36.0,1001,60
166,"Thursday 25 July 2024, 18.00 — 00.00",1721930400000.0,16,Partly cloudy.,34.0,1003,70
167,"Friday 26 July 2024, 00.00 — 06.00",1721952000000.0,16,Partly cloudy.,30.0,1003,75
168,"Friday 26 July 2024, 06.00 — 12.00",1721973600000.0,19,Broken clouds.,34.0,1004,69
169,"Friday 26 July 2024, 12.00 — 18.00",1721995200000.0,21,Broken clouds.,35.0,1001,59
170,"Friday 26 July 2024, 18.00 — 00.00",1722016800000.0,19,Partly cloudy.,34.0,1003,66
171,"Saturday 27 July 2024, 00.00 — 06.00",1722038400000.0,19,Partly cloudy.,31.0,1003,71
172,"Saturday 27 July 2024, 06.00 — 12.00",1722060000000.0,21,Broken clouds.,33.0,1004,67
173,"Saturday 27 July 2024, 12.00 — 18.00",1722081600000.0,20,Broken clouds.,36.0,1001,56
174,"Saturday 27 July 2024, 18.00 — 00.00",1722103200000.0,16,Partly cloudy.,34.0,1003,61
175,"Sunday 28 July 2024, 00.00 — 06.00",1722124800000.0,16,Partly cloudy.,31.0,1002,64
176,"Sunday 28 July 2024, 06.00 — 12.00",1722146400000.0,21,Broken clouds.,34.0,1003,61
177,"Sunday 28 July 2024, 12.00 — 18.00",1722168000000.0,21,Broken clouds.,35.0,1000,54
178,"Sunday 28 July 2024, 18.00 — 00.00",1722189600000.0,17,Partly cloudy.,34.0,1000,57
179,"Monday 29 July 2024, 00.00 — 06.00",1722211200000.0,18,Partly cloudy.,31.0,1001,66
180,"Monday 29 July 2024, 06.00 — 12.00",1722232800000.0,17,Scattered clouds.,35.0,1002,61
181,"Monday 29 July 2024, 12.00 — 18.00",1722254400000.0,20,Broken clouds.,36.0,1000,58
182,"Monday 29 July 2024, 18.00 — 00.00",1722276000000.0,15,Broken clouds.,32.0,1001,75
183,"Sunday 14 July 2024, 18.00 — 00.00",1720980000000.0,9,Drizzle. Fog.,30.0,1003,82
184,"Monday 15 July 2024, 00.00 — 06.00",1721001600000.0,14,Fog.,29.0,1002,80
185,"Monday 15 July 2024, 06.00 — 12.00",1721023200000.0,17,Drizzle. Broken clouds.,29.0,1003,82
186,"Monday 15 July 2024, 12.00 — 18.00",1721044800000.0,13,Drizzle. Broken clouds.,29.0,1001,85
187,"Monday 15 July 2024, 18.00 — 00.00",1721066400000.0,19,Fog.,29.0,1002,84
188,"Tuesday 16 July 2024, 00.00 — 06.00",1721088000000.0,21,Fog.,28.0,1001,84
189,"Tuesday 16 July 2024, 06.00 — 12.00",1721109600000.0,21,Broken clouds.,31.0,1003,79
190,"Tuesday 16 July 2024, 12.00 — 18.00",1721131200000.0,18,Broken clouds.,32.0,1001,70
191,"Tuesday 16 July 2024, 18.00 — 00.00",1721152800000.0,19,Drizzle. Fog.,31.0,1002,76
192,"Wednesday 17 July 2024, 00.00 — 06.00",1721174400000.0,17,Fog.,29.0,1002,83
193,"Wednesday 17 July 2024, 06.00 — 12.00",1721196000000.0,13,Fog.,33.0,1004,79
194,"Wednesday 17 July 2024, 12.00 — 18.00",1721217600000.0,21,Broken clouds.,35.0,1001,66
195,"Wednesday 17 July 2024, 18.00 — 00.00",1721239200000.0,20,Partly cloudy.,33.0,1003,71
196,"Thursday 18 July 2024, 00.00 — 06.00",1721260800000.0,20,Fog.,30.0,1002,78
197,"Thursday 18 July 2024, 06.00 — 12.00",1721282400000.0,18,Fog.,32.0,1004,75
198,"Thursday 18 July 2024, 12.00 — 18.00",1721304000000.0,17,Broken clouds.,32.0,1002,73
199,"Thursday 18 July 2024, 18.00 — 00.00",1721325600000.0,18,Fog.,28.0,1003,84
200,"Friday 19 July 2024, 00.00 — 06.00",1721347200000.0,18,Fog.,28.0,1002,80
201,"Friday 19 July 2024, 06.00 — 12.00",1721368800000.0,19,Drizzle. Fog.,32.0,1003,76
202,"Friday 19 July 2024, 12.00 — 18.00",1721390400000.0,21,Broken clouds.,32.0,1001,71
203,"Friday 19 July 2024, 18.00 — 00.00",1721412000000.0,20,Fog.,30.0,1002,79
204,"Saturday 20 July 2024, 00.00 — 06.00",1721433600000.0,14,Fog.,28.0,1002,79
205,"Saturday 20 July 2024, 06.00 — 12.00",1721455200000.0,14,Fog.,32.0,1004,74
